tota_name	tota_number	date_signed	p1	p2	year	decade	region	composition	crossregional	wto
Second Convention of Lomé	319	1979-10-31	BDI BEL BEN BFA BHS BRB BWA CAF CIV CMR COD COG DEU DNK ETH FJI FRA GAB GBR GHA GIN GMB GNB GNQ GRD GUY IRL ITA JAM KEN LBR LSO LUX MDG MLI MRT MUS MWI NER NGA NLD RWA SDN SEN SLE SOM SWZ TCD TGO TON TTO TZA UGA WSM ZMB		1979	197	Caribbean; Europe; Africa; Oceania; South America	Plurilateral	Yes	No
First Convention of Lomé	318	1975-02-28	BDI BEL BEN BFA BHS BRB BWA CAF CIV CMR COD COG DEU DNK ETH FJI FRA GAB GBR GHA GIN GMB GNB GNQ GRD GUY IRL ITA JAM KEN LBR LSO LUX MDG MLI MRT MUS MWI NER NGA NLD RWA SDN SEN SLE SOM SWZ TCD TGO TON TTO TZA UGA WSM ZMB		1975	197	Caribbean; Europe; Africa; Oceania; South America	Plurilateral	Yes	No
Yaoundé II	317	1969-07-29	BDI BEL BFA CAF CIV CMR COG DEU FRA GAB ITA LUX MDG MLI MRT MUS NER NLD RWA SEN SOM TCD TGO		1969	196	Europe; Africa	Plurilateral	Yes	No
Yaoundé I	316	1963-07-20	BDI BEL BEN BFA CAF CIV CMR COG DEU FRA GAB ITA LUX MDG MLI MRT NER NLD RWA SEN SOM TCD TGO		1963	196	Europe; Africa	Plurilateral	Yes	No
Turkey - Slovenia	315	1998-05-05	SVN	TUR	1998	199	Europe	Bilateral	No	Yes
Turkey - Poland	314	1999-10-04	POL	TUR	1999	199	Europe	Bilateral	No	Yes
Turkey - Lithuania	313	1997-06-02	LTU	TUR	1997	199	Europe	Bilateral	No	Yes
Turkey - Latvia	312	1998-06-16	LVA	TUR	1998	199	Europe	Bilateral	No	Yes
Turkey - Estonia	311	1997-06-03	EST	TUR	1997	199	Europe	Bilateral	No	Yes
South Africa - Southern Rhodesia Customs Union	310	1948-12-06	ZAF	ZWE	1948	194	Africa	Bilateral	No	Yes
Turkey - Tunisia	31	2004-11-25	TUN	TUR	2004	200	Africa; Europe	Bilateral	Yes	Yes
Slovenia - Lithuania	309	1996-10-04	LTU	SVN	1996	199	Europe	Bilateral	No	Yes
Slovenia - Latvia	308	1996-04-22	LVA	SVN	1996	199	Europe	Bilateral	No	Yes
Slovenia - Israel	307	1998-05-13	ISR	SVN	1998	199	Middle East; Europe	Bilateral	Yes	Yes
Slovenia - Former Yugoslav Republic of Macedonia	306	1996-07-01	MKD	SVN	1996	199	Europe	Bilateral	No	Yes
Slovenia - Estonia	305	1996-11-26	EST	SVN	1996	199	Europe	Bilateral	No	Yes
Slovenia - Croatia	304	1997-12-12	HRV	SVN	1997	199	Europe	Bilateral	No	Yes
Slovenia - Bosnia and Herzegovina	303	2001-10-03	BIH	SVN	2001	200	Europe	Bilateral	No	No
Slovak Republic - Turkey	302	1997-10-20	SVK	TUR	1997	199	Europe	Bilateral	No	Yes
Slovak Republic - Romania Free Trade Agreement	301	1994-06-01	ROU	SVK	1994	199	Europe	Bilateral	No	Yes
Slovak Republic - Lithuania	300	1996-11-27	LTU	SVK	1996	199	Europe	Bilateral	No	Yes
Turkey - Palestinian Authority	30	2004-07-20	PSE	TUR	2004	200	Middle East; Europe	Bilateral	Yes	No
Chile - Japan	3	2007-03-27	CHL	JPN	2007	200	South America; East Asia	Bilateral	Yes	Yes
Slovak Republic - Latvia	299	1996-04-19	LVA	SVK	1996	199	Europe	Bilateral	No	Yes
Slovak Republic - Israel	298	1996-05-22	ISR	SVK	1996	199	Middle East; Europe	Bilateral	Yes	Yes
Slovak Republic - Estonia	297	1996-05-28	EST	SVK	1996	199	Europe	Bilateral	No	Yes
Romania - Turkey	296	1997-04-29	ROU	TUR	1997	199	Europe	Bilateral	No	Yes
Romania - Serbia and Montenegro	295	2003-12-23	MNE ROU SRB		2003	200	Europe	Bilateral	No	Yes
Romania - Moldova	294	1994-02-15	MDA	ROU	1994	199	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
Romania - Israel	293	2001-01-30	ISR	ROU	2001	200	Middle East; Europe	Bilateral	Yes	Yes
Romania - Former Yugoslav Republic of Macedonia	292	2003-02-07	MKD	ROU	2003	200	Europe	Bilateral	No	Yes
Romania - Bosnia and Herzegovina	291	2003-04-08	BIH	ROU	2003	200	Europe	Bilateral	No	No
Poland - Lithuania	290	1996-05-27	LTU	POL	1996	199	Europe	Bilateral	No	Yes
EU - Chile	29	2002-11-18	AUT BEL CHL DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE		2002	200	Europe; South America	Bilateral; One Party is an RTA	Yes	Yes
Poland - Latvia	289	1997-04-28	LVA	POL	1997	199	Europe	Bilateral	No	Yes
Poland - Israel	288	1998-01-07	ISR	POL	1998	199	Middle East; Europe	Bilateral	Yes	Yes
Poland - Faeroe Islands	287	1998-11-03	FRO	POL	1998	199	Europe	Bilateral	No	No
Moldova - Serbia and Montenegro	286	2003-11-13	MDA MNE SRB		2003	200	Commonwealth of Independent States (CIS)	Bilateral	No	Yes
Moldova - Former Yugoslav Republic of Macedonia	285	2004-01-28	MDA	MKD	2004	200	Commonwealth of Independent States (CIS); Europe	Bilateral	Yes	Yes
Moldova - Croatia	284	2004-02-27	HRV	MDA	2004	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Moldova - Bulgaria	283	2004-05-20	BGR	MDA	2004	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Moldova - Bosnia and Herzegovina	282	2002-12-23	BIH	MDA	2002	200	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	No
Lithuania - Switzerland Free-Trade Agreement	281	1992-11-24	CHE	LTU	1992	199	Europe	Bilateral	No	Yes
Lithuania - Sweden Free Trade Agreement	280	1992-03-17	LTU	SWE	1992	199	Europe	Bilateral	No	Yes
Lithuania - Norway Free Trade Agreement	279	1992-06-15	LTU	NOR	1992	199	Europe	Bilateral	No	Yes
Latvia - Switzerland Free Trade Agreement	278	1992-12-22	CHE	LVA	1992	199	Europe	Bilateral	No	Yes
Latvia - Sweden Free Trade Agreement	277	1992-03-10	LVA	SWE	1992	199	Europe	Bilateral	No	Yes
Latvia - Norway Free Trade Agreement	276	1992-06-15	LVA	NOR	1992	199	Europe	Bilateral	No	Yes
Latin American Free Trade Area (LAFTA)	275	1960-02-18	ARG BRA CHL MEX PER PRY URY		1960	196	South America; North America	Plurilateral	Yes	Yes
Ireland - United Kingdom Free Trade Area	274	1965-12-14	GBR	IRL	1965	196	Europe	Bilateral	No	Yes
Hungary - Turkey	273	1997-01-08	HUN	TUR	1997	199	Europe	Bilateral	No	Yes
Hungary - Slovenia Free Trade Agreement	272	1994-04-06	HUN	SVN	1994	199	Europe	Bilateral	No	Yes
Hungary - Lithuania	271	1998-11-13	HUN	LTU	1998	199	Europe	Bilateral	No	Yes
Hungary - Latvia	270	1999-06-10	HUN	LVA	1999	199	Europe	Bilateral	No	Yes
Thailand - New Zealand	27	2005-04-19	NZL	THA	2005	200	Oceania; East Asia	Bilateral	Yes	Yes
Hungary - Israel	269	1997-10-14	HUN	ISR	1997	199	Europe; Middle East	Bilateral	Yes	Yes
Hungary - Estonia	268	1998-11-01	EST	HUN	1998	199	Europe	Bilateral	No	Yes
Gulf Cooperation Council (GCC)	267	1981-05-25	ARE BHR KWT OMN QAT SAU		1981	198	Middle East	Plurilateral	No	Yes
Ghana - Upper Volta Trade Agreement	266	1961-06-28	BFA	GHA	1961	196	Africa	Bilateral	No	Yes
Former Yugoslav Republic of Macedonia  - Bosnia and Herzegovina	265	2002-04-24	BIH	MKD	2002	200	Europe	Bilateral	No	No
Finland - Lithuania Protocol	264	1992-06-05	FIN	LTU	1992	199	Europe	Bilateral	No	Yes
Finland - Latvia Protocol	263	1992-11-26	FIN	LVA	1992	199	Europe	Bilateral	No	Yes
Finland - Estonia Protocol	262	1992-02-13	EST	FIN	1992	199	Europe	Bilateral	No	Yes
Estonia - Ukraine	261	1995-05-24	EST	UKR	1995	199	Europe; Commonwealth of Independent States (CIS)	Bilateral	Yes	Yes
Estonia - Switzerland Free Trade Agreement	260	1992-12-21	CHE	EST	1992	199	Europe	Bilateral	No	Yes
US - Morocco	26	2004-06-15	MAR	USA	2004	200	Africa; North America	Bilateral	Yes	Yes
Estonia - Sweden Free Trade Agreement	259	1992-03-31	EST	SWE	1992	199	Europe	Bilateral	No	Yes
Estonia - Norway Free Trade Agreement	258	1992-06-15	EST	NOR	1992	199	Europe	Bilateral	No	Yes
Estonia - Latvia - Lithuania	257	1993-09-13	EST LTU LVA		1993	199	Europe	Plurilateral	No	Yes
Estonia - Faeroe Islands	256	1997-11-30	EST	FRO	1997	199	Europe	Bilateral	No	No
Equatorial Customs Union - Cameroon Association	255	1959-06-23	CAF CMR COG GAB TCD		1959	195	Africa	Plurilateral	No	Yes
El Salvador - Nicaragua Free Trade Area	254	1951-03-09	NIC	SLV	1951	195	Central America	Bilateral	No	Yes
EFTA - Spain Agreement	253	1979-06-26	AUT CHE ESP ISL NOR PRT SWE		1979	197	Europe	Plurilateral	No	Yes
EFTA - Slovenia	252	1995-06-13	CHE ISL LIE NOR SVN		1995	199	Europe	Plurilateral	No	Yes
EFTA - Romania Free Trade Agreement	251	1992-12-10	AUT CHE FIN ISL LIE NOR ROU SWE		1992	199	Europe	Plurilateral	No	Yes
EFTA - Poland Agreement	250	1992-12-10	AUT CHE FIN ISL LIE NOR POL SWE		1992	199	Europe	Plurilateral	No	Yes
Turkey - Morocco	25	2004-04-07	MAR	TUR	2004	200	Africa; Europe	Bilateral	Yes	Yes
EFTA - Lithuania	249	1995-12-07	CHE ISL LIE LTU NOR		1995	199	Europe	Plurilateral	No	Yes
EFTA - Latvia	248	1995-12-07	CHE ISL LIE LVA NOR		1995	199	Europe	Plurilateral	No	Yes
EFTA - Hungary Agreement	247	1993-03-29	AUT CHE FIN HUN ISL LIE NOR SWE		1993	199	Europe	Plurilateral	No	Yes
EFTA - Estonia Free Trade Agreement	246	1995-12-07	EST ISL LIE		1995	199	Europe	Plurilateral	No	Yes
EFTA - Czechoslovakia	245	1992-03-20	AUT CHE CZE FIN ISL LIE NOR SVK SWE		1992	199	Europe	Plurilateral	No	Yes
EFTA - Bulgaria	244	1993-03-29	AUT BGR CHE FIN ISL LIE NOR SWE		1993	199	Europe	Plurilateral	No	Yes
EC - Turkey Association Agreement of 1973	243	1973-06-30	BEL DEU DNK FRA GBR IRL ITA LUX NLD TUR		1973	197	Europe	Plurilateral	No	Yes
EEC - Turkey Association Agreement of 1963	242	1963-09-12	BEL DEU FRA ITA LUX NLD TUR		1963	196	Europe	Plurilateral	No	Yes
EC - Turkey Additional Protocol	241	1970-11-23	BEL DEU FRA ITA LUX NLD TUR		1970	197	Europe	Plurilateral	No	Yes
EC - Tunisia Association Agreement of 1969	240	1969-03-28	BEL DEU FRA ITA LUX NLD TUN		1969	196	Europe; Africa	Plurilateral	Yes	Yes
Korea, Republic of - Singapore	24	2005-08-04	KOR	SGP	2005	200	East Asia	Bilateral	No	Yes
EC - Syria Interim Agreement of 1977	239	1977-01-18	BEL DEU DNK FRA GBR IRL ITA LUX NLD		1977	197	Europe	Plurilateral	No	Yes
EC - Sweden Agreement	238	1972-07-22	BEL DEU DNK FRA GBR IRL ITA LUX NLD SWE		1972	197	Europe	Plurilateral	No	Yes
EC - Spain Agreement of 1970	237	1970-06-29	BEL DEU ESP FRA ITA LUX NLD		1970	197	Europe	Plurilateral	No	Yes
EC - Slovenia Interim Agreement	236	1996-11-11	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT SVN		1996	199	Europe	Plurilateral	No	Yes
EC - Slovenia Europe Agreement	235	1996-06-10	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT SVN		1996	199	Europe	Plurilateral	No	Yes
EC - Slovenia Cooperation Agreement	234	1993-04-05	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT SVN		1993	199	Europe	Plurilateral	No	Yes
EC - Slovak Republic Europe Agreement	233	1993-10-04	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT SVK		1993	199	Europe	Plurilateral	No	Yes
EC - Romania Interim Agreement	232	1993-02-01	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT ROU		1993	199	Europe	Plurilateral	No	Yes
EC - Romania Europe Agreement	231	1993-02-01	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT ROU		1993	199	Europe	Plurilateral	No	Yes
EC - Portugal Agreement of 1972	230	1972-07-22	BEL DEU DNK FRA GBR IRL ITA LUX NLD PRT		1972	197	Europe	Plurilateral	No	Yes
Dominican Republic - Central America - United States Free Trade Agreement (CAFTA-DR)	23	2004-08-05	CRI DOM GTM HND NIC SLV USA		2004	200	Central America; Caribbean; North America	Plurilateral	Yes	Yes
EC - Poland Interim Agreement of 1991	229	1991-12-16	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD POL PRT		1991	199	Europe	Plurilateral	No	Yes
EC - Poland Europe Agreement	228	1991-12-16	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD POL PRT		1991	199	Europe	Bilateral; One Party is an RTA	No	Yes
EC - Morocco Association Agreement of 1969	227	1969-03-31	BEL DEU FRA ITA LUX MAR NLD		1969	196	Europe; Africa	Plurilateral	Yes	Yes
EC - Malta Association Agreement	226	1970-12-05	BEL DEU FRA ITA LUX MLT NLD		1970	197	Europe	Plurilateral	No	Yes
EC - Lithuania	225	1994-07-18	BEL DEU DNK ESP FRA GBR GRC IRL ITA LTU LUX NLD PRT		1994	199	Europe	Plurilateral	No	Yes
EC - Lebanon Cooperation Agreement	224	1977-05-03	BEL DEU DNK FRA GBR IRL ITA LBN LUX NLD		1977	197	Europe; Middle East	Plurilateral	Yes	No
EC - Latvia Agreement	223	1994-07-18	BEL DEU DNK ESP FRA GBR GRC IRL ITA LUX LVA NLD PRT		1994	199	Europe	Plurilateral	No	Yes
EC - Israel Agreement of 1970	222	1970-06-29	BEL DEU FRA ISR ITA LUX NLD		1970	197	Europe; Middle East	Plurilateral	Yes	Yes
EC - Hungary Interim Agreement of 1991	221	1991-12-16	BEL DEU DNK ESP FRA GBR GRC HUN IRL ITA LUX NLD PRT		1991	199	Europe	Plurilateral	No	Yes
EC - Hungary Europe Agreement	220	1991-12-16	BEL DEU DNK ESP FRA GBR GRC HUN IRL ITA LUX NLD PRT		1991	199	Europe	Plurilateral	No	Yes
EEC - Greece Association Agreement	219	1961-07-09	BEL DEU FRA GRC ITA LUX NLD		1961	196	Europe	Plurilateral	No	Yes
EC - Greece Additional Protocol	218	1975-04-28	BEL DEU DNK FRA GBR GRC IRL ITA LUX NLD		1975	197	Europe	Plurilateral	No	Yes
EC - Finland Agreement	217	1973-10-05	BEL DEU DNK FIN FRA GBR IRL ITA LUX NLD		1973	197	Europe	Plurilateral	No	Yes
EC - Faeroe Islands Agreement of 1992	216	1991-12-02	BEL DEU DNK ESP FRA FRO GBR GRC IRL ITA LUX NLD PRT		1991	199	Europe	Plurilateral	No	No
EC - Estonia Agreement	215	1994-07-18	BEL DEU DNK ESP EST FRA GBR GRC IRL ITA LUX NLD PRT		1994	199	Europe	Plurilateral	No	Yes
EC - Egypt Cooperation Agreement	214	1977-01-18	BEL DEU DNK EGY FRA GBR IRL ITA LUX NLD		1977	197	Europe; Africa	Plurilateral	Yes	Yes
EC - Egypt Agreement of 1972	213	1972-12-18	BEL DEU EGY FRA ITA LUX NLD		1972	197	Europe; Africa	Plurilateral	Yes	Yes
EC - Czech Republic Europe Agreement	212	1993-10-04	AUT BEL CZE DEU DNK ESP FIN FRA GBR GRC IRL ITA LUX NLD PRT SWE		1993	199	Europe	Plurilateral	No	Yes
EC - Czech and Slovak Federal Republic Interim Agreement	211	1991-12-16	BEL CZE DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT SVK		1991	199	Europe	Plurilateral	No	Yes
EC - Cyprus Association Agreement	210	1972-12-19	BEL CYP DEU DNK FRA GBR IRL ITA LUX NLD		1972	197	Europe	Plurilateral	No	Yes
Jordan - Singapore	21	2004-05-16	JOR	SGP	2004	200	Middle East; East Asia	Bilateral	Yes	Yes
EC - Bulgaria Interim Agreement	209	1993-03-08	BEL BGR DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT		1993	199	Europe	Plurilateral	No	Yes
EC - Bulgaria Europe Agreement	208	1993-03-08	BEL BGR DEU DNK ESP FRA GBR GRC IRL ITA LUX NLD PRT		1993	199	Europe	Plurilateral	No	Yes
